Last Run,Task Link,Search Results URL on Google Maps,Max Results,Position,Title,Rating,Review,Information,Link
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,21,Baker's Crust Artisan Kitchen,4.1,957.0,"Restaurant · 11800 W Broad St # 1102
Relaxed spot for New American fare
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Baker%27s+Crust+Artisan+Kitchen/data=!4m7!3m6!1s0x89b16a70984ab453:0x89f711f4b9fe3036!8m2!3d37.6564936!4d-77.6186105!16s%2Fg%2F1tf_tr9c!19sChIJU7RKmHBqsYkRNjD-ufQR94k?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,22,Mexico Restaurant,4.2,711.0,"Mexican · 11621 W Broad St
Colorful spot for margaritas & fajitas
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Mexico+Restaurant/data=!4m7!3m6!1s0x89b16a654acd3863:0x5ca2d67d123f9bd5!8m2!3d37.6519137!4d-77.6172066!16s%2Fg%2F1vg6vm4v!19sChIJYzjNSmVqsYkR1Zs_En3Wolw?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,23,Five Guys,4.5,700.0,"Fast Food · 10841 W Broad St
Fast-food burger & fries chain
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Five+Guys/data=!4m7!3m6!1s0x89b16abd18a8e857:0x376f058959350929!8m2!3d37.6453028!4d-77.5831123!16s%2Fg%2F1v5_b9f_!19sChIJV-ioGL1qsYkRKQk1WYkFbzc?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,24,Balkan Restaurant,4.8,480.0,"Eastern European · 8905 Patterson Ave
Homestyle Pan-European comfort food
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Balkan+Restaurant/data=!4m7!3m6!1s0x89b16b3801a9e3ed:0x88f3642185c931b2!8m2!3d37.5946274!4d-77.5734329!16s%2Fg%2F1tdwftcl!19sChIJ7eOpAThrsYkRsjHJhSFk84g?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,25,El Paso | Mexican Restaurant,4.5,1303.0,"Mexican · 3417 Cox Rd
Low-key spot for Mexican standards
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/El+Paso+%7C+Mexican+Restaurant/data=!4m7!3m6!1s0x89b16a9503f2e24f:0xc9f067b821972acc!8m2!3d37.6399528!4d-77.5867806!16s%2Fg%2F113hgl8nt!19sChIJT-LyA5VqsYkRzCqXIbhn8Mk?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,26,Kickback Jack’s,4.1,3522.0,"Restaurant · 9318 W Broad St
Lively sports bar with steak & seafood
Open ⋅ Closes 12 AM",https://www.google.com/maps/place/Kickback+Jack%E2%80%99s/data=!4m7!3m6!1s0x89b11548e31c79df:0xcd5ddaa7198fd23d!8m2!3d37.6384673!4d-77.55279!16s%2Fg%2F12636rj77!19sChIJ33kc40gVsYkRPdKPGafaXc0?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,27,Mellow Mushroom Short Pump,4.4,2892.0,"Pizza · 12171 W Broad St
Laid-back chain for stone-baked pizza
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/Mellow+Mushroom+Short+Pump/data=!4m7!3m6!1s0x89b16a0bf0c7cc03:0x72d3a3a062c2dfc!8m2!3d37.6594158!4d-77.6359946!16s%2Fg%2F11c72p7mvw!19sChIJA8zH8AtqsYkR_C0sBjo6LQc?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,28,The Cocky Rooster,4.5,259.0,"Chicken · 12171 W Broad St Suite D
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/The+Cocky+Rooster/data=!4m7!3m6!1s0x89b16b7deabc3265:0x527b28aa344fd09d!8m2!3d37.6591203!4d-77.6362192!16s%2Fg%2F11sgy8jr84!19sChIJZTK86n1rsYkRndBPNKooe1I?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,29,Chick-fil-A,4.2,2203.0,"Fast Food · 3380 Pump Rd
Fast-food chain for chicken sandwiches
Open ⋅ Closes 10 PM",https://www.google.com/maps/place/Chick-fil-A/data=!4m7!3m6!1s0x89b16a6360e4d1af:0x3fc43a422e071!8m2!3d37.6500951!4d-77.6134314!16s%2Fg%2F1thz2jvh!19sChIJr9HkYGNqsYkRceAipEP8AwA?authuser=0&hl=en&rclk=1
2024-04-23 16:28:21,https://dashboard.browse.ai/teams/personal/robots/fb1e4c58-ab8f-4378-b7b1-30b92455a89b/history/c7d973da-edea-497e-8139-8bb9bc368f01,"https://www.google.com/maps/search/restaurants/@37.626698,-77.6304095,13z/data=!3m1!4b1?entry=ttu",200,30,The Daily Kitchen &amp; Bar,4.3,1171.0,"New American · 12201 W Broad St
Stylish outpost for New American meals
Open ⋅ Closes 9 PM",https://www.google.com/maps/place/The+Daily+Kitchen+%26+Bar/data=!4m7!3m6!1s0x89b16a0953dd6f39:0x92565a75d4921f12!8m2!3d37.6595683!4d-77.6366128!16s%2Fg%2F11g8nn1_wj!19sChIJOW_dUwlqsYkREh-S1HVaVpI?authuser=0&hl=en&rclk=1
